更新时间,#genre#
2025-02-06 02:14:49,url
央视频道,#genre#:
CCTV1,http://223.145.224.76:8000/udp/239.76.253.151:9000
CCTV1,http://223.145.224.77:8000/udp/239.76.253.151:9000
CCTV1,http://223.145.224.76:8000/udp/239.76.246.151:1234
CCTV1,http://223.145.224.76:8000/udp/239.76.246.151:1234
CCTV1,http://223.145.224.76:8000/udp/239.76.253.151:9000
CCTV1,http://223.145.224.77:8000/udp/239.76.253.151:9000
CCTV1,http://223.145.224.77:8000/udp/239.76.246.151:1234
CCTV1,http://223.145.224.76:8000/udp/239.76.246.151:1234
CCTV1,http://223.145.224.77:8000/udp/239.76.253.151:9000
CCTV1,http://223.145.224.77:8000/udp/239.76.253.151:9000
CCTV2,http://223.145.224.76:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.77:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.76:8000/udp/239.76.246.152:1234
CCTV2,http://223.145.224.77:8000/udp/239.76.246.152:1234
CCTV2,http://223.145.224.76:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.77:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.77:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.77:8000/udp/239.76.246.152:1234
CCTV2,http://223.145.224.76:8000/udp/239.76.246.152:1234
CCTV2,http://223.145.224.77:8000/udp/239.76.253.152:9000
CCTV3,http://223.145.224.77:8000/udp/239.76.253.153:9000
CCTV3,http://223.145.224.76:8000/udp/239.76.253.153:9000
CCTV3,http://223.145.224.76:8000/udp/239.76.253.153:9000
CCTV3,http://223.145.224.77:8000/udp/239.76.246.153:1234
CCTV3,http://223.145.224.77:8000/udp/239.76.253.153:9000
CCTV3,http://223.145.224.77:8000/udp/239.76.246.153:1234
CCTV3,http://223.145.224.76:8000/udp/239.76.246.153:1234
CCTV3,http://223.145.224.77:8000/udp/239.76.253.153:9000
CCTV3,http://223.145.224.77:8000/udp/239.76.246.153:1234
CCTV3,http://223.145.224.76:8000/udp/239.76.246.153:1234
CCTV4,http://223.145.224.76:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.77:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.77:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.76:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.77:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.77:8000/udp/239.76.246.154:1234
